Date,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Easter,Thanksgiving,Christmas
8/21/2013,28359,21314,49673,7231,2710,9941,10261,14607,21314,1796,3811,0,0,0
8/22/2013,28366,21324,49690,7201,2716,9917,10274,14622,21324,1803,3827,0,0,0
8/23/2013,28257,21291,49548,7149,2671,9820,10266,14611,21291,1802,3826,0,0,0
8/24/2013,28274,21343,49617,7110,2690,9800,10291,14650,21343,1801,3824,0,0,0
8/25/2013,28458,21400,49858,7230,2704,9934,10324,14694,21400,1804,3830,0,0,0
8/26/2013,28485,21392,49877,7252,2704,9956,10307,14688,21392,1809,3841,0,0,0
8/27/2013,28414,21322,49736,7209,2713,9922,10277,14640,21322,1813,3852,0,0,0
8/28/2013,28428,21325,49753,7229,2721,9950,10284,14647,21325,1803,3831,0,0,0
8/29/2013,28396,21412,49808,7151,2709,9860,10316,14696,21412,1807,3840,0,0,0
8/30/2013,28182,21343,49525,7032,2653,9685,10281,14651,21343,1811,3846,0,0,0
8/31/2013,28127,21335,49462,6949,2661,9610,10287,14662,21335,1815,3855,0,0,0
9/1/2013,28259,21403,49662,6997,2672,9669,10326,14719,21403,1822,3871,0,0,0
9/2/2013,28377,21404,49781,7094,2707,9801,10319,14704,21404,1823,3872,0,0,0
9/3/2013,28377,21404,49781,7094,2707,9801,10319,14704,21404,1823,3872,0,0,0
9/4/2013,28379,21372,49751,7110,2741,9851,10303,14683,21372,1811,3845,0,0,0
9/5/2013,28379,21372,49751,7110,2741,9851,10303,14683,21372,1811,3845,0,0,0
9/6/2013,28337,21410,49747,7088,2723,9811,10306,14681,21410,1811,3845,0,0,0
9/7/2013,28410,21502,49912,7056,2731,9787,10354,14757,21502,1821,3866,0,0,0
9/8/2013,28402,21555,49957,7156,2588,9744,10377,14785,21555,1824,3873,0,0,0
9/9/2013,28557,21566,50123,7145,2744,9889,10384,14798,21566,1823,3870,0,0,0
9/10/2013,28572,21577,50149,7147,2743,9890,10394,14805,21577,1826,3877,0,0,0
9/11/2013,28580,21571,50151,7166,2729,9895,10387,14804,21571,1829,3881,0,0,0
9/12/2013,28587,21653,50240,7124,2750,9874,10423,14842,21653,1824,3871,0,0,0
9/13/2013,28556,21662,50218,7106,2743,9849,10417,14835,21662,1825,3872,0,0,0
9/14/2013,28556,21694,50250,7098,2752,9850,10428,14853,21694,1816,3853,0,0,0
9/15/2013,28773,21767,50540,7222,2773,9995,10471,14918,21767,1819,3860,0,0,0
9/16/2013,28801,21725,50526,7222,2773,9995,10455,14911,21725,1836,3895,0,0,0
9/17/2013,28755,21697,50452,7221,2794,10015,10439,14878,21697,1819,3862,0,0,0
9/18/2013,28787,21663,50450,7277,2783,10060,10435,14871,21663,1816,3856,0,0,0
9/19/2013,28719,21695,50414,7172,2783,9955,10455,14893,21695,1824,3871,0,0,0
9/20/2013,28673,21705,50378,7185,2751,9936,10453,14883,21705,1817,3854,0,0,0
9/21/2013,28619,21663,50282,7189,2738,9927,10426,14840,21663,1816,3852,0,0,0
9/22/2013,28751,21710,50461,7227,2777,10004,10457,14883,21710,1822,3864,0,0,0
9/23/2013,28874,21734,50608,7280,2801,10081,10465,14912,21734,1830,3881,0,0,0
9/24/2013,28850,21675,50525,7305,2782,10087,10440,14882,21675,1828,3881,0,0,0
9/25/2013,28863,21721,50584,7295,2787,10082,10453,14894,21721,1832,3887,0,0,0
9/26/2013,28888,21804,50692,7287,2771,10058,10483,14934,21804,1836,3896,0,0,0
