"ds","trend","Christmas","Christmas_lower","Christmas_upper","Easter","Easter_lower","Easter_upper","holidays","holidays_lower","holidays_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","Thanksgiving","Thanksgiving_lower","Thanksgiving_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","additive_terms","additive_terms_lower","additive_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2013-08-21,49387.5479773795,0,0,0,0,0,0,0,0,0,-0.00778363118112847,-0.00778363118112847,-0.00778363118112847,0,0,0,0.000631826683434273,0.000631826683434273,0.000631826683434273,-0.00841545786456274,-0.00841545786456274,-0.00841545786456274,0,0,0,48236.3552561661,49725.1767623816,49387.5479773795,49387.5479773795,49003.1335189833
2013-08-22,49403.614407234,0,0,0,0,0,0,0,0,0,-0.00740930139940689,-0.00740930139940689,-0.00740930139940689,0,0,0,0.000625486503720487,0.000625486503720487,0.000625486503720487,-0.00803478790312738,-0.00803478790312738,-0.00803478790312738,0,0,0,48308.2770993235,49809.6863233827,49403.614407234,49403.614407234,49037.5681378708
2013-08-23,49419.6808370886,0,0,0,0,0,0,0,0,0,-0.00852105024711264,-0.00852105024711264,-0.00852105024711264,0,0,0,-0.000871513485837439,-0.000871513485837439,-0.000871513485837439,-0.00764953676127521,-0.00764953676127521,-0.00764953676127521,0,0,0,48261.5854700939,49817.4451649697,49419.6808370886,49419.6808370886,48998.5732534795
2013-08-24,49435.7472669431,0,0,0,0,0,0,0,0,0,-0.00878979812918101,-0.00878979812918101,-0.00878979812918101,0,0,0,-0.00152884732614196,-0.00152884732614196,-0.00152884732614196,-0.00726095080303905,-0.00726095080303905,-0.00726095080303905,0,0,0,48181.2667860213,49799.2020432796,49435.7472669431,49435.7472669431,49001.2170281014
2013-08-25,49451.8136967976,0,0,0,0,0,0,0,0,0,-0.0066434508093784,-0.0066434508093784,-0.0066434508093784,0,0,0,0.000226826226661094,0.000226826226661094,0.000226826226661094,-0.00687027703603949,-0.00687027703603949,-0.00687027703603949,0,0,0,48336.6631326865,49891.8161978332,49451.8136967976,49451.8136967976,49123.2830050684
2013-08-26,49467.8801266521,0,0,0,0,0,0,0,0,0,-0.00570224499651636,-0.00570224499651636,-0.00570224499651636,0,0,0,0.000776488562277839,0.000776488562277839,0.000776488562277839,-0.00647873355879419,-0.00647873355879419,-0.00647873355879419,0,0,0,48410.2351885599,49982.837472983,49467.8801266521,49467.8801266521,49185.8021547116
2013-08-27,49483.9465565066,0,0,0,0,0,0,0,0,0,-0.00594774924820395,-0.00594774924820395,-0.00594774924820395,0,0,0,0.000139732835891252,0.000139732835891252,0.000139732835891252,-0.0060874820840952,-0.0060874820840952,-0.0060874820840952,0,0,0,48417.376003444,50001.8370828237,49483.9465565066,49483.9465565066,49189.628450577
2013-08-28,49500.0129863612,0,0,0,0,0,0,0,0,0,-0.00506577665394684,-0.00506577665394684,-0.00506577665394684,0,0,0,0.000631826683433336,0.000631826683433336,0.000631826683433336,-0.00569760333738018,-0.00569760333738018,-0.00569760333738018,0,0,0,48486.0994722082,50135.7564722228,49500.0129863612,49500.0129863612,49249.2569762048
2013-08-29,49516.0794162157,0,0,0,0,0,0,0,0,0,-0.00468458951654455,-0.00468458951654455,-0.00468458951654455,0,0,0,0.000625486503719983,0.000625486503719983,0.000625486503719983,-0.00531007602026453,-0.00531007602026453,-0.00531007602026453,0,0,0,48504.1506178937,50046.5863206141,49516.0794162157,49516.0794162157,49284.1169096821
2013-08-30,49532.1458460702,0,0,0,0,0,0,0,0,0,-0.00579727338663982,-0.00579727338663982,-0.00579727338663982,0,0,0,-0.000871513485838695,-0.000871513485838695,-0.000871513485838695,-0.00492575990080113,-0.00492575990080113,-0.00492575990080113,0,0,0,48461.3418660294,50002.2526683704,49532.1458460702,49532.1458460702,49244.9944551736
2013-08-31,49548.2122759247,0,0,0,0,0,0,0,0,0,-0.0060742307739482,-0.0060742307739482,-0.0060742307739482,0,0,0,-0.00152884732614148,-0.00152884732614148,-0.00152884732614148,-0.00454538344780672,-0.00454538344780672,-0.00454538344780672,0,0,0,48464.9111474248,50032.6315934803,49548.2122759247,49548.2122759247,49247.2450001242
2013-09-01,49564.2787057792,0,0,0,0,0,0,0,0,0,-0.00394271004483376,-0.00394271004483376,-0.00394271004483376,0,0,0,0.000226826226662648,0.000226826226662648,0.000226826226662648,-0.00416953627149641,-0.00416953627149641,-0.00416953627149641,0,0,0,48593.7225589742,50109.3875580001,49564.2787057792,49564.2787057792,49368.861126261
2013-09-02,49580.3451356337,0,0,0,0,0,0,0,0,0,-0.00302217790948285,-0.00302217790948285,-0.00302217790948285,0,0,0,0.000776488562278527,0.000776488562278527,0.000776488562278527,-0.00379866647176138,-0.00379866647176138,-0.00379866647176138,0,0,0,48632.3935167656,50196.102181919,49580.3451356337,49580.3451356337,49430.5045118203
